Consumer_number,Consumer_type
VENX08444954462680,industrial
GRXC33020746550125,industrial
FCGQ19814303536339,industrial
EQKL85694875580467,industrial
KCXW91343862250032,industrial
NFMC42616650055728,industrial
JDVW57666669484928,low income families
HGRS67554693069282,industrial
WJYX39670413648529,industrial
CGDO45046562545022,industrial
RTLT54676567718056,low income families
GMAH74894134130515,industrial
FHGT18236683233786,low income families
JUGV58574305141320,industrial
KDWM72343625346724,industrial
DNUT84611745346865,industrial
INJM43003695626381,low income families
BRMB53233961596348,low income families
EYCL28119180396222,industrial
PWPE26250921629505,industrial
DENA59981898513652,industrial
ZPAS26919496825129,industrial
DCOX56894168490254,industrial
IKZH08078230683532,low income families
FCDD43252829144359,industrial
TNMV48252619601627,industrial
CUUK70735165026551,industrial
FMZB01986300050037,industrial
VVPT29581996676541,industrial
WUIW00818202817837,industrial
TFNU84099184624322,industrial
KACC90728987099547,industrial
GEXI58848523233536,low income families
NBQN43033153874355,industrial
USOI01636292173412,industrial
HXOV80552734877557,industrial
JVYI66208715585159,industrial
COWH94393019622935,industrial
PJBG81551254030092,industrial
FOGL66608699450492,industrial
APIX23025239230384,industrial
USCV77286769892123,industrial
NNKF92704765416624,industrial
LRAL82633550507688,industrial
IMBX02784904646581,industrial
IYPF09448390075115,industrial
WGUY93961702007063,industrial
JDFB91441873190771,industrial
RMQI95915028213378,industrial
ZKPG43880444227846,industrial
KHOY77066062304321,industrial
NHFT84916099108261,industrial
ZWIV32294304461444,industrial
EGYU92010243816407,industrial
FEWR46402099505959,industrial
PBSW73561076867824,low income families
KVAN73479116099584,industrial
RCCB11656325152372,industrial
UQMH00076570081337,industrial
KCWE07038330915205,industrial
XYES67726049538336,industrial
EQAD52473277545292,industrial
MGYP11861755139081,industrial
FZRP63431054534745,industrial
MHKI28456945098761,low income families
HBBB40357355829874,low income families
RRTB85583422636622,industrial
KIVC82184180643031,industrial
PIRW45880935433031,industrial
GFFG01798583116046,low income families
TIAI49210553571077,industrial
RGXF59128583066455,industrial
GUOJ42653699971382,low income families
ITPJ16307087915606,low income families
DWOL20606574790454,industrial
UPQB00785123626543,industrial
NJKG79591092232566,industrial
ZXWX55942012223566,industrial
GGSK50409018679457,industrial
NDFS84069941627676,low income families
AGZD07213467721118,industrial
MPPA13080115709916,low income families
MFKS41426194554322,low income families
FCEB55736898860978,low income families
FIPV92748687797450,low income families
HVTL73614800406347,low income families
GISB05062343018672,industrial
EUEJ04437992005975,industrial
BTCO02703388351356,industrial
CYPV95300994106083,industrial
PBBL36033403303280,low income families
PDEK32941045104177,low income families
OPRG06975490466843,industrial
CEOM94207501913012,low income families
TJQR89577141722603,industrial
VXNE19652261559585,industrial
VVFJ69549881788613,industrial
JBNS92820239995139,industrial
UJXJ03775958628081,low income families
MYWJ48428464556631,industrial
GRXC33020746550125,industrial
DMQW06422804051098,industrial
EQKL85694875580467,industrial
JDVW57666669484928,low income families
CGDO45046562545022,low income families
RTLT54676567718056,low income families
GMAH74894134130515,industrial
FHGT18236683233786,low income families
RAFU09126502665608,industrial
PJJC99484296189857,low income families
CLQG78039033709239,industrial
XNRA02582906985247,industrial
NYRR58688177084605,industrial
KDWM72343625346724,industrial
INJM43003695626381,low income families
TCES88152522045417,industrial
KYIN64721824511108,industrial
PWPE26250921629505,industrial
HDDT94840634914252,industrial
BYYN99780792499601,low income families
KSBL23156232494473,industrial
FCDD43252829144359,industrial
ZKFU57599420843736,industrial
TNMV48252619601627,industrial
FMZB01986300050037,industrial
TFNU84099184624322,industrial
WXYF21113361348253,industrial
AHRA93701497494813,industrial
FMWB30477528904604,industrial
KMJN97150743354414,low income families
ZPYP16337102153664,industrial
HXOV80552734877557,industrial
DWZT19944471696987,low income families
PJBG81551254030092,industrial
STQF83788566178063,industrial
CCTM69477356226980,industrial
APIX23025239230384,industrial
BENG66184610421490,industrial
KXHE28709548532082,low income families
CNTT86559279224757,low income families
ZWAF82502428931885,industrial
FAWW57445459869229,industrial
IYPF09448390075115,industrial
RMQI95915028213378,industrial
KHOY77066062304321,industrial
VRSG89618646640143,industrial
OGBF44324779029820,industrial
UQMH00076570081337,industrial
KCWE07038330915205,industrial
NQNC82525044139361,industrial
DKNF49408713640838,low income families
XYES67726049538336,industrial
GBYA69939822152443,industrial
EQAD52473277545292,industrial
MGYP11861755139081,industrial
ZYDM28607258499868,low income families
FUKN92112193372842,low income families
OFSQ89007894885379,industrial
PIRW45880935433031,industrial
GFFG01798583116046,low income families
RGXF59128583066455,industrial
DWOL20606574790454,industrial
NLZT35421722867668,industrial
NJKG79591092232566,industrial
IWUI42190103436952,industrial
NDFS84069941627676,industrial
MPPA13080115709916,low income families
RCZK44567254451440,low income families
DJPH52747873678053,industrial
FCEB55736898860978,low income families
