Consumer_number,Consumer_type
VENX08444954462680,domestic
GRXC33020746550125,domestic
FCGQ19814303536339,domestic
EQKL85694875580467,domestic
KCXW91343862250032,domestic
NFMC42616650055728,domestic
JDVW57666669484928,domestic
HGRS67554693069282,domestic
WJYX39670413648529,domestic
CGDO45046562545022,domestic
RTLT54676567718056,domestic
GMAH74894134130515,domestic
FHGT18236683233786,domestic
JUGV58574305141320,domestic
KDWM72343625346724,domestic
DNUT84611745346865,domestic
INJM43003695626381,domestic
BRMB53233961596348,domestic
EYCL28119180396222,domestic
PWPE26250921629505,domestic
DENA59981898513652,domestic
ZPAS26919496825129,domestic
DCOX56894168490254,domestic
IKZH08078230683532,domestic
FCDD43252829144359,domestic
TNMV48252619601627,domestic
CUUK70735165026551,domestic
FMZB01986300050037,domestic
VVPT29581996676541,domestic
WUIW00818202817837,domestic
TFNU84099184624322,domestic
KACC90728987099547,domestic
GEXI58848523233536,domestic
NBQN43033153874355,domestic
USOI01636292173412,domestic
HXOV80552734877557,domestic
JVYI66208715585159,domestic
COWH94393019622935,domestic
PJBG81551254030092,domestic
FOGL66608699450492,domestic
APIX23025239230384,domestic
USCV77286769892123,domestic
NNKF92704765416624,domestic
LRAL82633550507688,domestic
IMBX02784904646581,domestic
IYPF09448390075115,domestic
WGUY93961702007063,domestic
JDFB91441873190771,domestic
RMQI95915028213378,domestic
ZKPG43880444227846,domestic
KHOY77066062304321,domestic
NHFT84916099108261,domestic
ZWIV32294304461444,domestic
EGYU92010243816407,domestic
FEWR46402099505959,domestic
PBSW73561076867824,domestic
KVAN73479116099584,domestic
RCCB11656325152372,domestic
UQMH00076570081337,domestic
KCWE07038330915205,domestic
XYES67726049538336,domestic
EQAD52473277545292,domestic
MGYP11861755139081,domestic
FZRP63431054534745,domestic
MHKI28456945098761,domestic
HBBB40357355829874,domestic
RRTB85583422636622,domestic
KIVC82184180643031,domestic
PIRW45880935433031,domestic
GFFG01798583116046,domestic
TIAI49210553571077,domestic
RGXF59128583066455,domestic
GUOJ42653699971382,domestic
ITPJ16307087915606,domestic
DWOL20606574790454,domestic
UPQB00785123626543,domestic
NJKG79591092232566,domestic
ZXWX55942012223566,domestic
GGSK50409018679457,domestic
NDFS84069941627676,domestic
AGZD07213467721118,domestic
MPPA13080115709916,domestic
MFKS41426194554322,domestic
FCEB55736898860978,domestic
FIPV92748687797450,domestic
HVTL73614800406347,domestic
GISB05062343018672,domestic
EUEJ04437992005975,domestic
BTCO02703388351356,domestic
CYPV95300994106083,domestic
PBBL36033403303280,domestic
